doi,resolved_url,field,score,verdict_bucket,suggested_action,gold_value,parser_value,gold_on_page,parser_on_page,evidence,notes
10.1016/j.aej.2017.04.016,https://doi.org/10.1016/j.aej.2017.04.016,abstract,fuzzy=0.499 length_ratio=1.064 match@0.74=False,both_on_page_format_diff,fix_gold,"In the travel demand modeling field, mode choice is the most important decision that affects the resulted road congestion. The behavioral nature of this decision is represented in a mathematical form by the use of disaggregate discrete choice models, which are based on the random utility theory. The…","In the travel demand modeling field, mode choice is the most important decision that affects the resulted road congestion. The behavioral nature of the disaggregate models and the associated advantages of such models over aggregate models have led to their extensive use. This paper proposes a framew…",True,True,"{""fuzzy_ratio"": 0.499, ""gold_on_page"": true, ""parser_on_page"": true}",
10.1016/j.ajhg.2018.10.027,https://doi.org/10.1016/j.ajhg.2018.10.027,abstract,fuzzy=0.667 length_ratio=2.001 match@0.74=False,both_on_page_format_diff,fix_gold,"Diamond-Blackfan anemia (DBA) is a rare bone marrow failure disorder that affects 7 out of 1,000,000 live births and has been associated with mutations in components of the ribosome. In order to characterize the genetic landscape of this heterogeneous disorder, we recruited a cohort of 472 individua…","Diamond-Blackfan anemia (DBA) is a rare bone marrow failure disorder that affects 7 out of 1,000,000 live births and has been associated with mutations in components of the ribosome. In order to characterize the genetic landscape of this heterogeneous disorder, we recruited a cohort of 472 individua…",True,True,"{""fuzzy_ratio"": 0.667, ""gold_on_page"": true, ""parser_on_page"": true}",
10.1016/j.ajog.2006.10.180,https://doi.org/10.1016/j.ajog.2006.10.180,abstract,fuzzy=0.130 length_ratio=14.301 match@0.74=False,both_on_page_format_diff,fix_gold,Cerclage is beneficial in women with short cervix and prior preterm delivery. Recent meta-analyses have also shown: 1) no benefit of cerclage for cervical length (CL) â¤15 mm in low-risk women (To et al 2004); 2) potential benefit of cerclage for women with CL <25 mm in mixed high- and low-risk wome…,ObjectiveCerclage is beneficial in women with short cervix and prior preterm delivery. Recent meta-analyses have also shown: 1) no benefit of cerclage for cervical length (CL) ≤15 mm in low-risk women (To et al 2004); 2) potential benefit of cerclage for women with CL <25 mm in mixed high- and low-r…,True,True,"{""fuzzy_ratio"": 0.13, ""gold_on_page"": true, ""parser_on_page"": true}",
10.1016/j.amc.2012.06.074,https://doi.org/10.1016/j.amc.2012.06.074,abstract,fuzzy=0.705 length_ratio=1.464 match@0.74=False,both_on_page_format_diff,fix_gold,Let F denote the class of all functions univalent in the unit disk and convex in the direction of the real axis. In the paper we discuss the functions n-fold symmetric and convex in the direction of the real axis. The properties of the functionals connected with the covering are obtained.,"Let F denote the class of all functions univalent in the unit disk and convex in the direction of the real axis. In the paper we discuss the functions of the class F which are n -fold symmetric, where n is positive even integer. For the class of such functions we find the Koebe set as well as the co…",True,True,"{""fuzzy_ratio"": 0.705, ""gold_on_page"": true, ""parser_on_page"": true}",
10.1016/j.amjcard.2020.07.014,https://doi.org/10.1016/j.amjcard.2020.07.014,abstract,fuzzy=0.625 length_ratio=2.199 match@0.74=False,both_on_page_format_diff,fix_gold,This study sought to examine the differences in the characteristics and outcomes between men and women who underwent percutaneous coronary intervention (PCI) or coronary artery bypass grafting (CABG) for acute myocardial infarction (AMI) in contemporary US practice. The Nationwide Inpatient Sample w…,"
This study sought to examine the differences in the characteristics and outcomes between
         men and women who underwent percutaneous coronary intervention (PCI) or coronary artery
         bypass grafting (CABG) for acute myocardial infarction (AMI) in contemporary US practice.
         The N…",True,True,"{""fuzzy_ratio"": 0.625, ""gold_on_page"": true, ""parser_on_page"": true}",
10.1016/j.athoracsur.2004.03.087,https://doi.org/10.1016/j.athoracsur.2004.03.087,abstract,fuzzy=0.366 length_ratio=4.443 match@0.74=False,both_on_page_format_diff,fix_gold,"The authors describe a single patient undergoing a successful robotic mitral valve repair that used nitinol U-clips (Coalescent Surgical, Sunnyvale, CA) to secure the annuloplasty ring. Having previously reported several ""firsts"" in minimally invasive and robotic cardiac surgery, yet another from th…","The authors describe a single patient undergoing a successful robotic mitral valve repair that used nitinol U-clips (Coalescent Surgical, Sunnyvale, CA) to secure the annuloplasty ring. Having previously reported several “firsts” in minimally invasive and robotic cardiac surgery, yet another from th…",True,True,"{""fuzzy_ratio"": 0.366, ""gold_on_page"": true, ""parser_on_page"": true}",
10.1016/j.bbmt.2015.11.725,https://doi.org/10.1016/j.bbmt.2015.11.725,abstract,fuzzy=0.319 length_ratio=5.264 match@0.74=False,both_on_page_format_diff,fix_gold,Children undergoing HSCT are at risk of significant morbidity and mortality from untreated or unrecognized hypertension. Analysis of our inpatient BMT unit revealed nearly 50% of all blood pressures recorded on a daily basis were above the 95th percentile for blood pressure norms. The aim of this pr…,Children undergoing HSCT are at risk of significant morbidity and mortality from untreated or unrecognized hypertension. Analysis of our inpatient BMT unit revealed nearly 50% of all blood pressures recorded on a daily basis were above the 95th percentile for blood pressure norms. The aim of this pr…,True,True,"{""fuzzy_ratio"": 0.319, ""gold_on_page"": true, ""parser_on_page"": true}",
10.1016/j.bmc.2015.06.029,https://doi.org/10.1016/j.bmc.2015.06.029,abstract,fuzzy=0.512 length_ratio=0.687 match@0.74=False,both_on_page_format_diff,fix_gold,"In this paper, we describe the synthesis and pharmacological evaluation of a series of 4-aminoquinolines. The compounds were characterised and tested for their anti-nociceptive and anti-inflammatory activities. Their anti-nociceptive effect was evaluated in vivo using the acetic acid-induced writhin…","In this paper, we describe the synthesis and pharmacological evaluation of a series of 4-aminoquinolines. The compounds were characterised and tested in models of pain and inflammation, using the writhing test with acetic acid, formalin test, peritonitis test by zymosan and arthritis test with Freun…",True,True,"{""fuzzy_ratio"": 0.512, ""gold_on_page"": true, ""parser_on_page"": true}",
10.1016/j.bpj.2016.11.133,https://doi.org/10.1016/j.bpj.2016.11.133,abstract,fuzzy=0.505 length_ratio=2.957 match@0.74=False,both_on_page_format_diff,fix_gold,"Voltage-gated sodium channels are important molecular targets for anesthetics. The intravenous general anesthetic propofol was found to inhibit NaChBac, a prokaryotic sodium channel from Bacillus halodurans, but little is known about where propofol binds and how propofol binding inhibits the functio…","Voltage-gated sodium channels are important molecular targets for anesthetics. The intravenous general anesthetic propofol was found to inhibit NaChBac, a prokaryotic sodium channel from Bacillus halodurans, but little is known about where propofol binds and how propofol binding inhibits the functio…",True,True,"{""fuzzy_ratio"": 0.505, ""gold_on_page"": true, ""parser_on_page"": true}",
10.1016/j.ccc.2007.12.006,https://doi.org/10.1016/j.ccc.2007.12.006,abstract,fuzzy=0.632 length_ratio=2.165 match@0.74=False,both_on_page_format_diff,fix_gold,"Clostridium difficile colitis is a debilitating infection with a remarkably high associated mortality. Infection is contagious and spreads especially rapidly in an intensive care setting because patients who are there have all the associated risk factors, including major underlying illnesses, prior …","
Clostridium difficile colitis is a debilitating infection with a remarkably high associated mortality.
         Infection is contagious and spreads especially rapidly in an intensive care setting
         because patients who are there have all the associated risk factors, including major
         …",True,True,"{""fuzzy_ratio"": 0.632, ""gold_on_page"": true, ""parser_on_page"": true}",
10.1016/j.cgh.2008.11.008,https://doi.org/10.1016/j.cgh.2008.11.008,abstract,fuzzy=0.442 length_ratio=0.795 match@0.74=False,both_on_page_format_diff,fix_gold,"Intraductal papillary mucinous neoplasms have gained recognition in recent years as premalignant precursors to pancreatic cancer that enable early detection and often are found incidentally at imaging. Accurate diagnosis and optimal, finely tuned management of these lesions are important and require…","IPMNs have been recognized increasingly over the past decade. Evaluation of the location, size, and number of lesions; extent of ductal involvement; and the presence or absence of malignant features is essential in determining the lesion's aggressiveness and in planning the appropriate surgical appr…",True,True,"{""fuzzy_ratio"": 0.442, ""gold_on_page"": true, ""parser_on_page"": true}",
10.1016/j.chest.2022.04.017,https://doi.org/10.1016/j.chest.2022.04.017,abstract,fuzzy=0.563 length_ratio=2.522 match@0.74=False,both_on_page_format_diff,fix_gold,Background The current approach to interpretation of lung function measurements assumes that differences in lung function between racial and ethnic groups represent inherent and biological differences. Observed differences in lung function between White and Black populations are often attributed to …,"
Background
The current approach to interpretation of lung function measurements assumes that
         differences in lung function between racial and ethnic groups represent inherent and
         biological differences. Observed differences in lung function between White and Black
         populati…",True,True,"{""fuzzy_ratio"": 0.563, ""gold_on_page"": true, ""parser_on_page"": true}",
10.1016/j.dam.2004.07.005,https://doi.org/10.1016/j.dam.2004.07.005,abstract,fuzzy=0.618 length_ratio=0.915 match@0.74=False,both_on_page_format_diff,fix_gold,"We consider two optimization problems for cellular telephone networks, that arise in a recently discussed ITU proposal for a traffic load model. These are (i) base station positioning, to maximize coverage of a geographical area by the transmission range of the base stations, and (ii) frequency assi…","We consider two optimization problems for cellular telephone networks, that arise in a recently discussed ITU proposal for a traffic load model. These problems address the positioning of base stations (on given possible locations) with the aim to maximize the number of supplied demand nodes and mini…",True,True,"{""fuzzy_ratio"": 0.618, ""gold_on_page"": true, ""parser_on_page"": true}",
10.1016/j.desal.2024.118090,https://doi.org/10.1016/j.desal.2024.118090,abstract,fuzzy=0.464 length_ratio=1.110 match@0.74=False,both_on_page_format_diff,fix_gold,"Given the criticality of phosphorous and the harm eutrophication causes, wastewater treatment plants (WWTP) are undergoing circular economy (CE) conversion. Meanwhile, the current N and P recovery technologies are unsustainable due to different setbacks; optimizing resource recovery potential throug…","Given the criticality of phosphorous and the harm eutrophication causes, wastewater treatment plants (WWTP) are undergoing circular economy (CE) conversions into becoming centres for resource recovery. This framework paper identifies the environmental, societal, political, commercial, economic, cons…",True,True,"{""fuzzy_ratio"": 0.464, ""gold_on_page"": true, ""parser_on_page"": true}",
10.1016/j.ejps.2021.106078,https://doi.org/10.1016/j.ejps.2021.106078,abstract,fuzzy=0.516 length_ratio=1.259 match@0.74=False,both_on_page_format_diff,fix_gold,"Vorinostat (suberoylanilide hydroxamic acid, SAHA), an FDA-approved drug for cutaneous T cell lymphoma, has antiangiogenic and anti-inflammatory activity. However, its poor aqueous solubility limits its formulation and application. This study aimed to investigate the potential of cyclodextrin inclus…","Vorinostat (suberoylanilide hydroxamic acid, SAHA), an FDA-approved drug for cutaneous T cell lymphoma, has antiangiogenic and anti-inflammatory activity and thus has therapeutic potential for inflammatory corneal neovascularization (CNV). However, its practical administration is limited due to its …",True,True,"{""fuzzy_ratio"": 0.516, ""gold_on_page"": true, ""parser_on_page"": true}",
10.1016/j.geomphys.2013.09.003,https://doi.org/10.1016/j.geomphys.2013.09.003,abstract,fuzzy=0.566 length_ratio=1.212 match@0.74=False,both_on_page_format_diff,fix_gold,"In his book on Pseudo-Riemannian geometry, δ-invariants and applications, B.Y. Chen introduced a sequence of curvature invariants. Each of these invariants δ satisfies δ≤c⋅H2 where H is the mean curvature and c is a constant depending on the dimension of the manifold. In this paper, we prove that fo…","In his book on Pseudo-Riemannian geometry, δ -invariants and applications, B.Y. Chen introduced a sequence of curvature invariants. Each of these invariants is used to obtain a lower bound for the length of the mean curvature vector for an immersion in a real space form. A submanifold is called an i…",True,True,"{""fuzzy_ratio"": 0.566, ""gold_on_page"": true, ""parser_on_page"": true}",
10.1016/j.gie.2009.03.223,https://doi.org/10.1016/j.gie.2009.03.223,abstract,fuzzy=0.353 length_ratio=0.217 match@0.74=False,both_on_page_format_diff,fix_gold,"Background: Biliary ERCP is performed for benign and malignant indications. Studies have evaluated factors associated with stent malfunction in malignant strictures; however, a systematic evaluation of factors associated with stent malfunction in benign biliary strictures has not been conducted. Aim…","Background: Biliary ERCP is performed for benign and malignant indications. Studies
have evaluated factors associated with stent malfunction in malignant strictures;
however, a systematic evaluation of factors associated with stent malfunction in benign
biliary strictures has not been conducted. Aim…",True,True,"{""fuzzy_ratio"": 0.353, ""gold_on_page"": true, ""parser_on_page"": true}",
10.1016/j.gie.2011.03.214,https://doi.org/10.1016/j.gie.2011.03.214,abstract,fuzzy=0.285 length_ratio=6.011 match@0.74=False,both_on_page_format_diff,fix_gold,"Outlet obstruction is a major cause of chronic constipation. The mainstay for therapy is biofeedback, but only 50% of patients respond initially and <25% have long-term response to biofeedback. Injection of botulinum toxin with digital guidance has been used for treatment of outlet obstruction with …","Outlet obstruction is a major cause of chronic constipation. The mainstay for therapy is biofeedback, but only 50% of patients respond initially and <25% have long-term response to biofeedback. Injection of botulinum toxin with digital guidance has been used for treatment of outlet obstruction with …",True,True,"{""fuzzy_ratio"": 0.285, ""gold_on_page"": true, ""parser_on_page"": true}",
10.1016/j.hlc.2020.05.065,https://doi.org/10.1016/j.hlc.2020.05.065,abstract,fuzzy=0.378 length_ratio=4.272 match@0.74=False,both_on_page_format_diff,fix_gold,"Cardiac Magnetic Resonance (CMR) imaging is increasingly utilised to assess the aetiology and severity of cardiomyopathies. Non-ischaemic cardiomyopathy (NICM) is a heterogeneous condition, with varying clinical and demographic factors influencing outcome. This study assesses differences in clinical…","Cardiac Magnetic Resonance (CMR) imaging is increasingly utilised to assess the aetiology and severity of cardiomyopathies. Non-ischaemic cardiomyopathy (NICM) is a heterogeneous condition, with varying clinical and demographic factors influencing outcome. This study assesses differences in clinical…",True,True,"{""fuzzy_ratio"": 0.378, ""gold_on_page"": true, ""parser_on_page"": true}",
10.1016/j.hpb.2018.06.1506,https://doi.org/10.1016/j.hpb.2018.06.1506,abstract,fuzzy=0.324 length_ratio=5.174 match@0.74=False,both_on_page_format_diff,fix_gold,Introduction: Early cholecystectomy decreases biliary events comparing with delayed cholecystectomy after ERCP. Some authors have reported a relationship between ERCP previous surgery and the intraoperative difficulty to perform surgery. There are no data about readmission after cholecystectomy acco…,Introduction: Early cholecystectomy decreases biliary events comparing with delayed cholecystectomy after ERCP. Some authors have reported a relationship between ERCP previous surgery and the intraoperative difficulty to perform surgery. There are no data about readmission after cholecystectomy acco…,True,True,"{""fuzzy_ratio"": 0.324, ""gold_on_page"": true, ""parser_on_page"": true}",
10.1016/j.ijcard.2013.04.029,https://doi.org/10.1016/j.ijcard.2013.04.029,abstract,fuzzy=0.448 length_ratio=3.462 match@0.74=False,both_on_page_format_diff,fix_gold,"We have read the comments by Dr. Coats [1,2] in reaction to our article [3]. Dr. Coats found an error in our article in the second comment letter. Dr. Coats suggested that too much trust in PubMed may enter flaws into overviews including meta-analyses by errors in source data. We are grateful for hi…","We have read the comments by Dr. Coats [
      1


Coats A.J.

Reply to the Hong-Lin Chen article on CONSORT (2010) recommendations.
                  Int J Cardiol. 2012; 162 (15): 4-5


Abstract
Full Text
Full Text PDF
PubMed
Scopus (1)
Google Scholar



,
      2


Coats A.J.

Beware of puttin…",True,True,"{""fuzzy_ratio"": 0.448, ""gold_on_page"": true, ""parser_on_page"": true}",
10.1016/j.ijsolstr.2006.06.007,https://doi.org/10.1016/j.ijsolstr.2006.06.007,abstract,fuzzy=0.492 length_ratio=1.668 match@0.74=False,both_on_page_format_diff,fix_gold,"The one-dimensional free energy model for ferroelectric materials developed by Smith et al. [Smith, R.C., Seelecke, S., Ounaies, Z., 2002. A free energy model for hysteresis in ferroelectric materials. J. Intell. Mater. Syst. Struct. 14(11), 719–739] is extended to three dimensions to quantify the c…","The one-dimensional free energy model for ferroelectric materials developed by Smith et al. [Smith, R.C., Seelecke, S., Ounaies, Z., 2002. A free energy model for piezoceramic materials. In: 9th SPIE Conference on Smart Structures and Materials, San Diego, USA, pp. 17–22; Smith, R.C., Seelecke, S., …",True,True,"{""fuzzy_ratio"": 0.492, ""gold_on_page"": true, ""parser_on_page"": true}",
10.1016/j.jaci.2017.04.038,https://doi.org/10.1016/j.jaci.2017.04.038,abstract,fuzzy=0.660 length_ratio=2.023 match@0.74=False,both_on_page_format_diff,fix_gold,"Diesel exhaust particles (DEPs) are a major component of particulate matter in Europe's largest cities, and epidemiologic evidence links exposure with respiratory symptoms and asthma exacerbations. Respiratory reflexes are responsible for symptoms and are regulated by vagal afferent nerves, which in…","BackgroundDiesel exhaust particles (DEPs) are a major component of particulate matter in Europe's largest cities, and epidemiologic evidence links exposure with respiratory symptoms and asthma exacerbations. Respiratory reflexes are responsible for symptoms and are regulated by vagal afferent nerves…",True,True,"{""fuzzy_ratio"": 0.66, ""gold_on_page"": true, ""parser_on_page"": true}",
10.1016/j.jaci.2018.12.384,https://doi.org/10.1016/j.jaci.2018.12.384,abstract,fuzzy=0.298 length_ratio=5.713 match@0.74=False,both_on_page_format_diff,fix_gold,"The Asian population in the United States demonstrate similar levels of food allergy and eczema, but reduced rates of asthma when compared to the non-Hispanic white population. We explored the hypothesis that different phenotypes of allergic disease exist and differ by race.","The Asian population in the United States demonstrate similar levels of food allergy and eczema, but reduced rates of asthma when compared to the non-Hispanic white population. We explored the hypothesis that different phenotypes of allergic disease exist and differ by race.
Utilizing data from the …",True,True,"{""fuzzy_ratio"": 0.298, ""gold_on_page"": true, ""parser_on_page"": true}",
10.1016/j.jat.2015.02.005,https://doi.org/10.1016/j.jat.2015.02.005,abstract,fuzzy=0.668 length_ratio=0.883 match@0.74=False,both_on_page_format_diff,fix_gold,Let {λj}j=1∞ be a sequence of distinct positive numbers. We find explicit formulae for the orthogonal Dirichlet polynomials {ϕn} formed from linear combinations of {e−λjt}j=1∞ with respect to the Laguerre weight medδ. The associated sequence of orthonormal polynomials consists of Para-orthogonal pol…,"Let { λ j } j = 1 ∞ be a sequence of distinct positive numbers. We find explicit formulae for the orthogonal Dirichlet polynomials { ψ n } formed from linear combinations of { λ j − i t } j = 1 n , associated with the Laguerre weight. Thus ∫ 0 ∞ ψ n ( t ) ψ m ( t ) ¯ e − t d t = δ m n . In addition,…",True,True,"{""fuzzy_ratio"": 0.668, ""gold_on_page"": true, ""parser_on_page"": true}",
10.1016/j.jde.2019.06.001,https://doi.org/10.1016/j.jde.2019.06.001,abstract,fuzzy=0.497 length_ratio=1.071 match@0.74=False,both_on_page_format_diff,fix_gold,"In this paper, we define the transition semi-wave solution (cf. Definition 1.1) of the following reaction diffusion equation with free boundaries(1){ut=uxx+f(u,x),t>0,h0<x<h(t),u(t,h0)=u(t,h(t))=0,t>0,h′(t)=−μux(t,h(t)),t>0,u(0,x)=u0(x),h0<x<h(0),where μ>0 is a given constant and h0∈R∪{−∞}. We inves…","In this paper, we define the transition semi-wave solution (cf. Definition 1.1 ) of the following reaction diffusion equation with free boundaries (1) { u t = u x x + f ( t , x , u ) , t ∈ R , x < h ( t ) , u ( t , h ( t ) ) = 0 , t ∈ R , h ′ ( t ) = − μ u x ( t , h ( t ) ) , t ∈ R . In the homogene…",True,True,"{""fuzzy_ratio"": 0.497, ""gold_on_page"": true, ""parser_on_page"": true}",
10.1016/j.jece.2026.121318,https://doi.org/10.1016/j.jece.2026.121318,abstract,fuzzy=0.150 length_ratio=12.225 match@0.74=False,both_on_page_format_diff,fix_gold,The dwindling supply of freshwater has become a dire threat to enduring prosperity and the evolution of our global community in the 21st century. Harn…,"The dwindling supply of freshwater has become a dire threat to enduring prosperity and the evolution of our global community in the 21st century. Harnessing atmospheric moisture represents an auspicious strategy for addressing the water scarcity dilemma in underdeveloped regions, boasting advantages…",True,True,"{""fuzzy_ratio"": 0.15, ""gold_on_page"": true, ""parser_on_page"": true}",
10.1016/j.jhin.2007.02.012,https://doi.org/10.1016/j.jhin.2007.02.012,abstract,fuzzy=0.160 length_ratio=11.510 match@0.74=False,both_on_page_format_diff,fix_gold,"It has been described recently that the application of a specific propanol-based hand rub for surgical hand disinfection is equally effective according to EN 12791 in 1.5 min when compared with the traditionally recommended 3min.1,2 More data obtained with the test method of the US Food and Drug Adm…","It has been described recently that the application of a specific propanol-based hand
      rub for surgical hand disinfection is equally effective according to EN 12791 in 1.5
      min when compared with the traditionally recommended 3 min.
      1


Kampf G.
Ostermeyer C.
Heeg P.

Surgical han…",True,True,"{""fuzzy_ratio"": 0.16, ""gold_on_page"": true, ""parser_on_page"": true}",
10.1016/j.jobe.2024.109571,https://doi.org/10.1016/j.jobe.2024.109571,abstract,fuzzy=0.549 length_ratio=2.016 match@0.74=False,both_on_page_format_diff,fix_gold,Biocomposites are innovative materials usually made of natural fibers embedded in a natural matrix. The mechanical behavior of such materials when exposed to environmental aging is crucial for their use in structural applications. This paper presents an experimental investigation of the mechanical p…,"Biocomposites are innovative materials usually made of natural fibers embedded in a natural matrix. The mechanical behavior of such materials when exposed to the environmental agents (i.e. UV radiations, high/low temperature, variable humidity conditions) is a crucial issue. This paper is aimed to i…",True,True,"{""fuzzy_ratio"": 0.549, ""gold_on_page"": true, ""parser_on_page"": true}",
